"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024",
"Bangladesh","BGD","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","105008754992.418","112343514642.75","121157504599.86","129873049504.622","137806197692.128","147900975216.151","157420603401.486","167325146303.572","177965478384.521","188912743218.433","203418206731.376","218559239143.377","230463472736.244","246152172425.973","266015461711.794","292288029438.599","321404279211.061","353413232026.431","381885501594.424","403626330533.373","431294060080.085","468647816773.515","532553859722.85","577776460458.473","627516703644.248","671359529456.477","736379109928.489","791891204668.818","897767805988.755","997249695284.319","1104316059486.83","1247561124482.2","1431395376250.57","1568541874255.92","1674316179059.49",
"Bulgaria","BGR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65784592476.1834","62265676043.2644","59053227447.4579","59558146751.345","61935724579.3027","65044102236.4453","57255610548.1297","47789109581.7418","51007415177.6061","47685770372.0117","52475293539.858","55751957574.1368","61023440831.8326","65448587463.2394","71008537317.7107","78821895816.2094","86712835345.0697","96748685896.1293","107494842686.593","105567621819.823","110607955777.981","115717208524.997","119285335551.293","120959811960.839","127259409825.144","132010035906.559","143021674686.199","151832826641.707","161416529330.849","177424012151.293","179335119678.68","201543561665.616","231539013106.012","241758558129.681","264773991018.955",
"Bahrain","BHR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","13849100371.6826","15925300297.0046","17377895954.1868","20079358095.9532","20456821719.1415","21706545441.9508","23012414560.7456","24133299648.4367","25573503154.9677","27050614774.8075","29129541486.3927","30527388692.4569","32039893083.1749","34729663754.4617","38153235357.4752","42013080198.8788","46109468096.963","51286604420.6927","55539312164.1959","57301203503.1051","60511365801.66","62950607636.3072","68563454589.6353","70567575887.0546","71379476259.9094","65822385264.1269","67525760773.3312","75332756767.7388","78150406940.0445","83979879528.4482","78668739612.8244","82671890844.1512","94039487080.4043","101201588299.581","106776082045.154",
"Bahamas, The","BHS","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","5468495824.01783","5417015744.7824","5328506724.058","5471599905.99104","5764404367.40712","6142967173.62644","6519630443.08902","6717462617.5648","7113368009.17399","7729406884.25914","8232404551.30512","8638824315.07493","9010378920.27252","9072048169.55721","9398205460.89875","10022060354.5234","10591116604.2273","11035364907.0718","10986620781.6859","10592816282.8435","10886517826.6701","11179248735.1189","11652886944.3095","11480182878.3561","12128852901.2596","12384087314.253","12528462792.3855","13386673556.9062","13834540972.566","14254082379.9356","10769304826.4195","12313201284.2481","14625921166.6018","15614176109.9621","16532024282.4816",
"Bosnia and Herzegovina","BIH","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","4637921321.41758","4346551045.72072","4159443276.0317","4165152997.7464","4727650806.40403","5597528861.90815","8789370034.11271","12216998778.4022","14407138419.3494","16002211475.7554","17250728970.2581","18001354030.7797","19535710614.9456","20549407935.5108","22395126485.0637","24398053620.218","27916736800.9389","30848838159.0601","33896684161.9712","33729448496.7896","34633887612.8028","36525618036.5649","37145784899.7744","39027289744.1516","39811537889.8189","41689899626.6497","44798625490.3582","46722359237.752","50324993987.0851","54961732518.3234","54009573841.6375","59335302230.9235","67671426889.4646","71692427234.3962","69521962129.1886",
"Belarus","BLR","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","53193233762.3329","54332225386.9322","50235620769.4633","47517963139.9133","42854253851.6297","39202485381.3169","41037957751.5213","46504640735.6481","50977578797.0522","53456725836.2878","57838349047.3859","61935267888.0986","66071097838.5282","72120938869.55","82540052109.454","93130096681.3365","105602279424.649","117791170660.995","132306851781.267","133389134344.402","145473507864.257","156715098657.899","171127080561.616","179553714196.485","179879739572.13","171562717858.933","168862491607.69","174175435650.665","189020934305.568","210075611346.388","233301042735.647","256855349956.29","262349397260.188","283005268450.188","301471103995.527",
"Belize","BLZ","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","819064248.99306","946517922.433058","1091335343.7096","1185777488.24954","1210856333.80612","1245304989.95145","1282130597.2742","1359476743.87219","1428239879.95579","1584964655.36981","1819268792.5366","1953132524.97571","2090535193.55517","2337883566.48037","2515527393.93269","2651984341.59973","2857099677.93355","3032907162.12651","3039342498.34301","3046182781.32742","3117550615.77091","3174088034.88961","3098710709.99168","3250377139.13507","3311260718.30445","3398772050.198","3428786070.73689","3404254285.09165","3622682735.48562","4063289991.47876","3758836239.11244","4616637500.26857","5423194808.06664","5682898282.4383","6294776296.61763",
"Bermuda","BMU","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2068931682.90361","2063302183.94067","2109061166.99141","2224009319.29989","2285116526.7961","2435661677.54241","2544751275.64251","2707711381.44924","2844929975.68212","2982784270.00168","3334556050.41131","3655898957.66493","3657845331.61154","3857284207.79327","4052955585.05347","4250016553.30314","4623961353.15661","4908105011.79343","4909322335.7464","4661665611.4008","4600224450.62097","4519405326.5993","4401060438.48103","4546789583.9929","4573359853.64919","4819676018.15066","5102072630.22836","5447424722.84928","5488075615.45772","5832740627.90402","5481895565.20419","5968282122.23481","6807865902.96515","7399642886.20114","7738130438.58606",
"Bolivia","BOL","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","16285334761.5608","17722750387.5174","18425080624.8697","19667081616.6967","21024526972.9655","22469554059.2447","23878833796.3353","25494019474.3514","27077132708.1315","27577524724.93","28909467542.1255","30058157187.8209","31283984731.6742","32766590619.5629","35051931465.3983","37749359760.9916","40780171855.7844","43796805026.6176","47385371261.035","49278173098.8451","51935331423.9941","55765337777.5774","61696072906.0143","70394877007.2335","76454300115.4351","78777661969.4082","84385715066.6074","96545462750.1116","103029675562.864","107078496355.74","98004280065.3528","112858166789.685","125263793321.541","133770780373.29","138902580580.686",
"Brazil","BRA","GDP, PPP (current international $)","NY.GDP.MKTP.PP.CD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","997458383708.738","1041834385734.37","1059778771308.31","1138326881848.65","1230679787756.24","1309554571214.58","1362985284346.13","1433558431106.01","1454571004299.25","1482057413835.02","1582133937103.64","1640243857269.07","1716595685835.45","1770456746628.16","1922785831214.13","2046574552605.84","2193273153846.69","2389430239836.93","2559535104826.96","2572081759748.52","2799325235367.12","2970630762031.72","2992140131462.41","3120542014211.78","3166808963772.23","2989121457677.6","2907889886422.24","2980287463645.1","3187189640213.37","3333775621511.96","3359777233364.89","3787769507585.78","4180229770180.59","4471035569136.8","4734651403044.36",
